,year,title,genre,avg_vote,movie_rating
153,2007,Machine,"Crime, Drama",2.7,bad
154,2005,Mangal Pandey: The Rising,"Biography, Drama, History",6.6,good
155,2009,Blood and Bone,"Action, Crime, Drama",6.7,good
156,2007,"So, You've Downloaded a Demon","Comedy, Horror",5.3,okay
157,2006,Superman Returns,"Action, Sci-Fi",6.0,good
158,2005,Waiting...,Comedy,6.8,good
159,2005,Asylum,"Drama, Romance, Thriller",6.1,good
160,2005,Die You Zombie Bastards!,"Comedy, Fantasy, Horror",4.4,okay
161,2006,Freedomland,"Crime, Drama, Mystery",5.1,okay
162,2005,Netaji Subhas Chandra Bose: The Forgotten Hero,"Biography, Drama, History",7.5,good
163,2005,Slaughterhouse of the Rising Sun,"Comedy, Horror",3.7,okay
164,2006,Tajnata kniga,Drama,5.9,okay
165,2005,An Unfinished Life,"Drama, Family, Romance",7.0,good
166,2005,Zwarte zwanen,Drama,6.3,good
167,2005,Madagascar,"Animation, Adventure, Come",6.9,good
168,2005,Tweek City,Drama,4.0,okay
169,2005,Cinderella Man,"Biography, Drama, History",8.0,good
170,2006,Full Clip,"Action, Thriller",3.2,okay
171,2005,The Crow: Wicked Prayer,"Action, Adventure, Comedy",3.0,okay
172,2006,Day of Wrath,"Action, Adventure, Crime",5.5,okay
173,2009,El libro de piedra,"Drama, Fantasy, Horror",4.0,okay
174,2006,Der Liebeswunsch,"Drama, Romance",5.6,okay
175,2007,Fighting Words,"Drama, Romance",4.7,okay
176,2005,The Game of Their Lives,"Drama, History, Sport",6.1,good
177,2006,La science des rêves,"Comedy, Drama, Fantasy",7.3,good
178,2005,The Brothers Grimm,"Action, Adventure, Comedy",5.9,okay
179,2005,The Illustrated Family Doctor,"Comedy, Drama, Fantasy",5.8,okay
180,2005,Lords of Dogtown,"Biography, Drama, Sport",7.1,good
181,2006,"Wood & Stock: Sexo, Orégano e Rock'n'Roll","Animation, Comedy",6.2,good
182,2005,The Family Stone,"Comedy, Drama, Romance",6.3,good
183,2005,Mr. & Mrs. Smith,"Action, Comedy, Crime",6.5,good
184,2005,The Ballad of Jack and Rose,Drama,6.6,good
185,2005,Rx,"Thriller, Crime, Romance",5.4,okay
186,2005,Elektra,"Action, Adventure, Crime",4.7,okay
187,2005,Boogeyman,"Drama, Horror, Mystery",4.2,okay
188,2007,The Chosen One,"Animation, Action, Comedy",5.3,okay
189,2008,The Flyboys,"Action, Adventure, Drama",6.9,good
190,2005,Dr. Rage,"Horror, Thriller",2.6,bad
191,2005,Robots,"Animation, Adventure, Come",6.3,good
192,2005,Walk the Line,"Biography, Drama, Music",7.8,good
193,2005,Into the Sun,"Action, Thriller",4.4,okay
194,2005,Ainoa,"Adventure, Sci-Fi",4.9,okay
195,2006,Agua,Drama,6.0,good
196,2005,Silence Becomes You,"Drama, Horror, Mystery",4.3,okay
197,2005,Standing Still,"Comedy, Drama, Romance",5.7,okay
198,2006,10th & Wolf,"Crime, Drama, Thriller",6.3,good
199,2005,Constantine,"Action, Fantasy, Horror",7.0,good
200,2005,King Kong,"Action, Adventure, Drama",7.2,good
201,2005,Valiant,"Animation, Adventure, Come",5.5,okay
202,2008,Delgo,"Animation, Adventure, Come",4.3,okay
203,2005,Happy Endings,"Comedy, Drama, Music",6.3,good
204,2005,Duma,"Adventure, Drama, Family",7.2,good
205,2007,Kottentail,"Comedy, Horror",3.8,okay
206,2009,Inglourious Basterds,"Adventure, Drama, War",8.3,good
207,2006,Lurking in Suburbia,Comedy,5.9,okay
208,2007,Regresados,Drama,6.7,good
209,2006,Scary Movie 4,Comedy,5.0,okay
210,2005,Son of the Mask,"Comedy, Family, Fantasy",2.2,bad
211,2006,Ne le dis à personne,"Crime, Drama, Mystery",7.5,good
212,2009,The Box,"Drama, Fantasy, Mystery",5.5,okay
213,2005,Hermanas,Drama,6.5,good
214,2005,Monobloc,Drama,4.8,okay
215,2008,Christmas on Mars,"Music, Sci-Fi",5.4,okay
216,2005,Bewafaa,"Drama, Romance",4.3,okay
217,2005,Bigger Than the Sky,"Comedy, Drama, Romance",5.9,okay
218,2005,"The Chronicles of Narnia: The Lion, the Witch and t","Adventure, Family, Fantasy",6.9,good
219,2005,Lovesick,"Drama, Romance",3.4,okay
220,2008,Lymelife,"Comedy, Drama, Romance",6.9,good
221,2005,Le promeneur du Champ de Mars,"Biography, Drama",7.1,good
222,2005,The Gingerdead Man,"Comedy, Fantasy, Horror",3.4,okay
223,2005,Neo Ned,"Drama, Romance",7.1,good
224,2005,The Unknown,"Thriller, Action, Adventur",3.4,okay
225,2006,Whirlygirl,"Drama, Romance",5.8,okay
226,2006,Art School Confidential,"Comedy, Drama, Romance",6.3,good
227,2008,Babylon A.D.,"Action, Adventure, Sci-Fi",5.6,okay
228,2005,Dating Games People Play,"Comedy, Romance",5.0,okay
229,2005,Man with the Screaming Brain,"Adventure, Comedy, Sci-Fi",5.6,okay
230,2005,Las mantenidas sin sueños,"Comedy, Drama",6.9,good
231,2005,The Matador,"Comedy, Crime, Thriller",6.7,good
232,2007,Filmatron,Sci-Fi,7.0,good
233,2008,Der rote Baron,"Action, Adventure, Biograp",6.4,good
234,2005,Revolver,"Action, Crime, Drama",6.4,good
235,2005,Syriana,"Drama, Thriller",6.9,good
236,2006,Tenacious D in The Pick of Destiny,"Adventure, Comedy, Music",6.8,good
237,2005,San wa,"Action, Adventure, Comedy",6.1,good
238,2007,Uncle P,Comedy,3.4,okay
239,2005,The Upside of Anger,"Comedy, Drama",6.8,good
240,2009,Whiteout,"Action, Crime, Horror",5.5,okay
241,2006,Stalin,"Action, Drama",5.9,okay
242,2005,Géminis,Drama,6.0,good
243,2006,Happy Feet,"Animation, Adventure, Come",6.4,good
244,2005,The Jacket,"Drama, Fantasy, Mystery",7.1,good
245,2005,Lethal,"Action, Drama",2.5,bad
246,2005,Mirrormask,"Adventure, Fantasy",6.8,good
247,2006,Shortbus,"Comedy, Drama",6.4,good
248,2005,Sorstalanság,"Drama, Romance, War",6.9,good
249,2005,The Squid and the Whale,"Comedy, Drama",7.3,good
250,2006,Sea of Dreams,"Drama, Fantasy, Mystery",6.3,good
251,2005,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.6,good
252,2005,Deuce Bigalow: European Gigolo,Comedy,4.7,okay
253,2005,Hallesche Kometen,Drama,6.7,good
254,2008,Indiana Jones and the Kingdom of the Crystal Skull,"Action, Adventure",6.1,good
255,2007,Hannibal Rising,"Adventure, Crime, Drama",6.2,good
256,2005,Romance & Cigarettes,"Comedy, Musical, Romance",6.3,good
257,2005,Trouble,Thriller,5.8,okay
258,2005,Echoes of Innocence,"Romance, Thriller",5.2,okay
259,2008,Possession,"Drama, Horror, Mystery",5.6,okay
260,2005,Americano,"Comedy, Romance",6.1,good
261,2005,Are We There Yet?,"Adventure, Comedy, Family",4.7,okay
262,2005,Crab Orchard,"Drama, Family, Comedy",4.4,okay
263,2005,Elizabethtown,"Comedy, Drama, Romance",6.4,good
264,2007,I'm Not There,"Biography, Drama, Music",6.9,good
265,2005,The Lazarus Child,"Drama, Horror",5.0,okay
266,2005,Separate Lies,"Crime, Drama, Romance",6.4,good
267,2005,Alone in the Dark,"Action, Horror, Sci-Fi",2.4,bad
268,2005,Bal-Can-Can,"Action, Adventure, Comedy",7.7,good
269,2008,The Horror Vault,"Horror, Thriller",4.4,okay
270,2008,Four Christmases,"Comedy, Drama, Romance",5.6,okay
271,2005,Fun with Dick and Jane,"Comedy, Crime",6.1,good
272,2005,Monster-in-Law,"Comedy, Romance",5.5,okay
273,2007,AFR,Drama,5.2,okay
274,2005,Strangers with Candy,Comedy,6.0,good
275,2006,Ultraviolet,"Action, Adventure, Crime",4.4,okay
276,2007,32A,Drama,6.6,good
277,2005,Shooting Livien,"Drama, Music, Romance",5.4,okay
278,2005,Stay,"Drama, Mystery, Thriller",6.8,good
279,2005,Tetsujin niju-hachigo,"Action, Adventure, Fantasy",5.2,okay
280,2005,Window Theory,"Comedy, Drama, Romance",3.9,okay
281,2006,Astérix et les Vikings,"Animation, Adventure, Come",6.0,good
282,2005,Beneath Still Waters,"Drama, Fantasy, Horror",3.8,okay
283,2005,Chicken Little,"Animation, Adventure, Come",5.7,okay
284,2005,Forbidden Warrior,"Adventure, Action, Fantasy",3.5,okay
285,2005,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi",6.7,good
286,2005,The Zodiac,"Crime, Drama, Horror",5.4,okay
287,2008,Iron Man,"Action, Adventure, Sci-Fi",7.9,good
288,2005,La monja,"Drama, Horror, Thriller",4.0,okay
289,2005,Secuestro express,"Action, Crime, Drama",6.5,good
290,2007,The Devil's Muse,"Crime, Drama, Horror",3.9,okay
291,2005,Adam & Steve,"Comedy, Drama, Music",5.9,okay
292,2005,Guess Who,"Comedy, Romance",5.9,okay
293,2005,Dinotopia: Quest for the Ruby Sunstone,"Animation, Adventure, Come",5.2,okay
294,2005,Iowa,"Crime, Drama",5.0,okay
295,2005,Sex Sells: The Making of 'Touché',"Comedy, Romance",4.8,okay
296,2005,The Wedding Date,"Comedy, Romance",6.2,good
297,2005,Batman Begins,"Action, Adventure",8.2,good
298,2007,D-War,"Action, Drama, Fantasy",3.5,okay
299,2005,The Extra,"Comedy, Romance",5.1,okay
300,2006,Holla,Horror,3.5,okay
301,2008,In Your Dreams,"Comedy, Fantasy, Romance",5.4,okay
302,2008,Journey to the Center of the Earth,"Action, Adventure, Family",5.8,okay
303,2007,Red Is the Color of,"Comedy, Drama, Romance",4.9,okay
304,2005,Underclassman,"Action, Comedy, Crime",4.3,okay
305,2005,The Wendell Baker Story,"Comedy, Drama, Romance",5.6,okay
306,2005,Where the Truth Lies,"Crime, Drama, Mystery",6.5,good
307,2005,Kiss Kiss Bang Bang,"Action, Comedy, Crime",7.5,good
308,2005,Casa de Areia,Drama,7.4,good
309,2005,"Cinema, Aspirinas e Urubus","Adventure, Drama",7.4,good
310,2005,Der Clown,"Action, Crime, Thriller",4.4,okay
311,2007,Halloween,Horror,6.1,good
312,2007,Harry Potter and the Order of the Phoenix,"Action, Adventure, Family",7.5,good
313,2006,Rampage: The Hillside Strangler Murders,"Crime, Drama, Thriller",4.3,okay
314,2005,The Honeymooners,"Comedy, Drama, Family",3.3,okay
315,2005,The Interpreter,"Crime, Mystery, Thriller",6.4,good
316,2005,Khullam Khulla Pyaar Karen,Comedy,4.2,okay
317,2006,Libertas,"Biography, Drama, History",5.8,okay
318,2005,Köshpendiler,"Drama, History, War",5.9,okay
319,2005,Replica,"Romance, Thriller",1.6,bad
320,2005,Searching for Bobby D,"Adventure, Comedy",4.8,okay
321,2005,Turetskiy gambit,"War, Action, Adventure",7.0,good
322,2005,Bewitched,"Comedy, Fantasy, Romance",4.8,okay
323,2007,Captivity,"Crime, Drama, Horror",4.7,okay
324,2008,Che: Part Two,"Biography, Drama, History",6.9,good
325,2005,Lenny the Wonder Dog,"Adventure, Comedy, Family",3.3,okay
326,2007,Home Sick,Horror,4.7,okay
327,2009,Malice in Wonderland,"Adventure, Drama, Fantasy",6.0,good
328,2005,On the One,"Comedy, Drama, Musical",5.4,okay
329,2005,Remedy,"Crime, Drama",4.1,okay
330,2006,Tristan + Isolde,"Action, Drama, Romance",6.8,good
331,2007,The Deep Below,"Adventure, Thriller",4.1,okay
332,2005,White Noise,"Drama, Horror, Mystery",5.5,okay
333,2005,You and Your Stupid Mate,Comedy,3.9,okay
334,2009,Astro Boy,"Animation, Action, Comedy",6.3,good
335,2005,Black,Drama,8.2,good
336,2006,Gray Matters,"Comedy, Romance",5.8,okay
337,2005,Racing Stripes,"Adventure, Comedy, Drama",5.2,okay
338,2005,Rebound,"Comedy, Family, Sport",5.1,okay
339,2005,Anniyan,"Action, Drama, Thriller",8.2,good
340,2005,The Shadow Dancer,"Comedy, Drama, Romance",6.7,good
341,2005,Slow Burn,"Drama, Mystery, Thriller",5.8,okay
342,2005,Vida y color,Drama,6.1,good
343,2005,Colour Me Kubrick: A True...ish Story,"Comedy, Drama",6.1,good
344,2005,Frozen,Thriller,5.8,okay
345,2005,Guy in Row Five,Comedy,6.0,good
346,2005,Pizza,Comedy,5.7,okay
347,2006,X-Men: The Last Stand,"Action, Sci-Fi",6.7,good
348,2005,The Californians,Drama,4.8,okay
349,2006,I'll Believe You,"Comedy, Sci-Fi",5.6,okay
350,2005,Hollywood Flies,"Crime, Drama",4.5,okay
351,2005,Proof,"Drama, Mystery",6.7,good
352,2005,The Ring Two,"Horror, Mystery, Thriller",5.4,okay
353,2005,Three,"Drama, Romance, Thriller",4.9,okay
354,2006,A-List,"Comedy, Drama",5.9,okay
355,2005,Be Cool,"Comedy, Crime, Drama",5.6,okay
356,2005,Don't Come Knocking,"Drama, Music",6.6,good
357,2005,The Dukes of Hazzard,Comedy,5.1,okay
358,2005,Erosion,"Drama, Mystery, Romance",4.4,okay
359,2005,Into the Blue,"Action, Adventure, Crime",5.8,okay
360,2005,Left for Dead,"Action, Adventure, Crime",3.5,okay
361,2005,Piggy Banks,"Crime, Drama",5.4,okay
362,2005,Schneeland,"Drama, Romance",6.8,good
363,2007,Tali-Ihantala 1944,"Drama, History, War",5.8,okay
364,2005,Target of Opportunity,"Action, Drama",3.8,okay
365,2005,Dead Fish,"Action, Comedy, Thriller",5.4,okay
366,2005,Ghosts Never Sleep,Drama,4.3,okay
367,2005,Bailey's Billion$,"Comedy, Family",3.9,okay
368,2005,Capote,"Biography, Crime, Drama",7.3,good
369,2005,Serenity,"Action, Adventure, Sci-Fi",7.8,good
370,2008,Leatherheads,"Comedy, Drama, Romance",6.0,good
371,2007,Savage Grace,Drama,5.8,okay
372,2006,The Woods,"Horror, Mystery, Thriller",5.7,okay
373,2005,Back in the Day,"Action, Crime, Drama",4.4,okay
374,2008,Carlston za Ognjenku,"Comedy, Drama, Fantasy",6.9,good
375,2005,Goal!,"Drama, Romance, Sport",6.7,good
376,2009,The Lovely Bones,"Drama, Fantasy, Thriller",6.7,good
377,2005,Oliver Twist,"Crime, Drama",6.8,good
378,2005,The Perfect Man,"Comedy, Family, Romance",5.5,okay
379,2005,Pogled sa Ajfelovog tornja,"Drama, Romance",4.7,okay
380,2005,Winter Passing,"Comedy, Drama",6.3,good
381,2005,Une aventure,"Drama, Romance",5.0,okay
382,2006,Casino Royale,"Action, Adventure, Thrille",8.0,good
383,2006,Kruistocht in spijkerbroek,"Adventure, Family, Fantasy",6.1,good
384,2005,Flirt,"Romance, Comedy",5.8,okay
385,2006,Kisses and Caroms,Comedy,4.4,okay
386,2005,The Last Sign,"Drama, Fantasy, Romance",3.3,okay
387,2005,Pretty Persuasion,"Comedy, Drama",6.5,good
388,2005,Slipstream,"Action, Sci-Fi, Thriller",4.5,okay
389,2005,Vers le sud,Drama,6.3,good
390,2007,Tijuana Makes Me Happy,"Comedy, Drama, Romance",6.4,good
391,2007,3:10 to Yuma,"Action, Crime, Drama",7.7,good
392,2009,Cargo,"Mystery, Sci-Fi, Thriller",6.2,good
393,2006,Curious George,"Animation, Adventure, Come",6.5,good
394,2005,The Good Humor Man,"Drama, Romance",6.0,good
395,2005,Heights,"Drama, Romance",6.9,good
396,2005,Hide and Seek,"Drama, Horror, Mystery",6.0,good
397,2005,La historia del baúl rosado,"Crime, Drama, Mystery",6.2,good
398,2006,The Penalty King,Comedy,5.5,okay
399,2005,Rosario Tijeras,"Crime, Drama, Romance",6.3,good
400,2005,Vet hard,"Action, Comedy, Crime",6.2,good
401,2005,Things to Do Before You're 30,"Comedy, Drama, Romance",5.6,okay
402,2005,Die Bluthochzeit,"Action, Comedy, Drama",6.6,good
403,2006,The Da Vinci Code,"Mystery, Thriller",6.6,good
404,2005,Dallas Pashamende,Drama,6.5,good
405,2005,Dark Water,"Drama, Horror, Mystery",5.6,okay
406,2006,Jindabyne,"Crime, Drama, Mystery",6.3,good
407,2005,Look Both Ways,"Drama, Mystery, Romance",7.0,good
408,2005,Little Fish,"Crime, Drama, Romance",6.2,good
409,2005,Planetfall,"Action, Sci-Fi, Western",3.0,okay
410,2007,Ratatouille,"Animation, Adventure, Come",8.0,good
411,2005,Kameleon 2,"Adventure, Comedy, Family",5.9,okay
412,2005,Stealth,"Action, Adventure, Sci-Fi",5.1,okay
413,2008,"Synecdoche, New York","Comedy, Drama",7.6,good
414,2005,Vom Suchen und Finden der Liebe,"Comedy, Drama, Music",5.7,okay
415,2006,Zoom,"Action, Adventure, Comedy",4.3,okay
416,2008,Kalandorok,"Comedy, Drama",6.5,good
417,2007,Dolina,Drama,5.5,okay
418,2006,The Pink Panther,"Adventure, Comedy, Crime",5.6,okay
419,2005,BloodRayne,"Action, Adventure, Fantasy",2.9,bad
420,2005,Deepwater,"Crime, Mystery, Thriller",5.4,okay
421,2005,Evil Aliens,"Comedy, Horror, Sci-Fi",5.3,okay
422,2006,Love Comes to the Executioner,"Comedy, Drama, Romance",5.5,okay
423,2005,Mall Cop,Comedy,5.0,okay
424,2005,Mouth to Mouth,Drama,6.2,good
425,2006,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy",7.3,good
426,2005,Sueño,"Comedy, Drama, Music",5.2,okay
427,2007,Black August,Drama,6.4,good
428,2005,Police Beat,"Crime, Drama",6.7,good
429,2005,Af banen,"Comedy, Sport",5.0,okay
430,2005,Cry Wolf,"Drama, Horror, Mystery",5.8,okay
431,2006,Silent Hill,Horror,6.5,good
432,2005,Swimmers,Drama,6.5,good
433,2005,Kicking & Screaming,"Comedy, Family, Romance",5.6,okay
434,2005,The Weather Man,"Comedy, Drama",6.5,good
435,2007,What We Do Is Secret,"Biography, Drama, Music",6.4,good
436,2005,The White Countess,"Drama, History, Romance",6.6,good
437,2005,Missing in America,"Drama, War",6.6,good
438,2006,Accepted,Comedy,6.4,good
439,2006,Aimee Semple McPherson,"Biography, Drama",4.7,okay
440,2005,The Amityville Horror,Horror,6.0,good
441,2006,Ask the Dust,"Drama, Romance",5.8,okay
442,2005,Trouble with Sex,"Drama, Romance",5.2,okay
443,2005,The Dying Gaul,"Drama, Romance",6.4,good
444,2005,Hooligans,"Crime, Drama, Sport",7.5,good
445,2005,How the Garcia Girls Spent Their Summer,"Comedy, Drama, Romance",6.3,good
