,year,title,genre,avg_vote,movie_rating,duration
8088,2009,Princess Ka'iulani,Drama,6.2,good,97
8089,2009,Map of the Sounds of Tokyo,"Drama, Thriller",6.0,good,109
8090,2008,Saikyô heiki joshikôsei: Rika - zonbi hantâ vs saik,"Action, Horror",5.2,okay,86
8091,2009,Mensch,"Crime, Drama",5.5,okay,87
8092,2010,Veer,"Action, Adventure, Drama",4.6,okay,169
8093,2010,When in Rome,"Comedy, Romance",5.6,okay,91
8094,2008,Dostana,"Comedy, Drama, Romance",6.5,good,145
8095,2008,Hak sai lik,Action,5.6,okay,94
8096,2009,My One and Only,"Adventure, Biography, Come",6.5,good,108
8097,2008,Le piège américain,"Drama, Thriller",6.1,good,110
8098,2009,Kurbaan,"Action, Crime, Drama",5.7,okay,161
8099,2008,Shin-gi-jeon,"Adventure, Drama",6.0,good,134
8100,2007,The Hanged Man,Thriller,3.7,okay,88
8101,2009,Kansen rettô,"Drama, Sci-Fi, Thriller",5.2,okay,138
8102,2008,Star Wars: The Clone Wars,"Animation, Action, Adventu",5.9,okay,98
8103,2009,Adam,"Comedy, Drama, Romance",7.2,good,99
8104,2008,S.O.S Svartskjær,Family,5.5,okay,87
8105,2008,Nights and Weekends,"Drama, Romance",6.1,good,80
8106,2010,Lope,"Biography, Drama, History",6.0,good,106
8107,2009,Frozen Kiss,Drama,2.7,bad,90
8108,2010,Kung Fu Magoo,Animation,4.9,okay,79
8109,2008,Morfiy,Drama,7.2,good,110
8110,2009,Ninja Assassin,"Action, Thriller",6.3,good,99
8111,2008,Le silence de Lorna,Drama,7.1,good,105
8112,2009,Spread,"Comedy, Drama, Romance",5.9,okay,97
8113,2009,Fung wan II,"Action, Adventure, Fantasy",5.3,okay,111
8114,2008,Kacheli,Drama,6.6,good,84
8115,2009,Baby on Board,"Comedy, Romance",4.2,okay,95
8116,2008,Who Do You Love,Drama,5.5,okay,91
8117,2008,Jiang shan mei ren,"Action, Drama, History",5.9,okay,99
8118,2008,Paper Covers Rock,Drama,6.7,good,90
8119,2009,Agora,"Adventure, Biography, Dram",7.2,good,127
8120,2008,Chintakayala Ravi,"Comedy, Drama, Romance",5.4,okay,150
8121,2009,Arlen Faber,"Comedy, Romance",6.4,good,97
8122,2008,Grindstone Road,"Horror, Mystery, Thriller",4.5,okay,93
8123,2009,3 Idiots,"Comedy, Drama",8.4,good,170
